year x y
 1 6.19 5.55
 1 7.70 4.73
 1 7.56 4.76
 2 2.14 11.3
 3 1.08 11.2
 3 2.34 11.9
 3 2.31 14.1
 3 3.55 14.1
 3 4.24 10.8
 3 4.71 19.5
 3 4.96 19.1
 3 5.31 11.2
 3 5.31 17.1
 3 5.79 19.5
 3 5.23 20.7
 3 5.84 20.4
 3 5.71 20.5
 3 6.37 2.96
 3 6.16 13.8
 3 6.91 17.8
 3 6.38 17.4
 3 7.98 14.2
 3 7.86 14.9
 3 7.71 15.9
 3 8.14 18.9
 3 8.53 18.9
 3 8.10 18.6
 3 9.39 16.2
 3 9.81 17.7
 3 9.18 17.6
 3 11.1 14.6
 3 11.8 16.8
 3 12.7 13.1
 3 12.0 17.3
 3 12.2 18.3
 3 13.9 12.2
 3 13.0 12.5
 3 14.7 14.0
 3 14.1 14.2
 3 14.8 15.1
 3 14.3 16.2
 3 15.2 15.5
 3 15.1 16.2
 3 15.8 17.5
 3 16.0 12.5
 3 16.8 12.7
 3 16.3 13.3
 3 16.3 15.1
 3 16.5 15.6
 3 16.8 15.9
 3 16.3 17.8
 3 17.2 10.8
 3 17.0 13.9
 3 17.8 14.8
 3 17.3 15.0
 3 17.6 15.9
 3 18.8 13.8
 3 19.2 11.8
 3 19.1 13.1
 3 19.2 13.4
 3 19.0 13.3
 3 19.4 14.3
 3 20.3 15.8
 3 20.0 16.4
 3 21.7 11.1
 3 21.3 11.6
 3 23.6 10.4
 3 23.9 11.1
 3 23.5 13.8
 3 23.7 13.7
 3 23.2 14.8
 3 23.7 15.0
 3 24.0 13.5
 3 26.1 14.3
 4 5.26 22.3
 4 5.85 22.4
 4 6.51 20.6
 4 6.20 21.4
 4 6.75 22.4
 4 7.05 8.22
 4 8.75 15.5
 4 9.05 20.4
 4 9.42 20.8
 4 10.8 20.6
 4 11.7 18.5
 4 11.3 21.0
 4 11.4 21.3
 4 12.0 17.3
 4 14.9 12.1
 4 14.1 21.6
 4 15.3 16.4
 4 15.6 21.8
 4 16.2 18.2
 4 20.6 14.0
 4 20.2 15.1
 4 20.3 22.0
 4 20.3 22.1
 4 21.0 16.4
 4 22.6 23.0
 4 24.5 11.6
 4 24.9 20.8
 4 26.7 18.5
 4 29.8 20.1
 4 29.4 21.7
 4 29.5 21.9
 4 29.5 24.8
 4 30.4 17.4
 4 30.4 18.2
 4 30.8 18.2
 4 30.4 22.8
 4 31.4 20.5
 4 31.0 22.6
 4 31.7 24.5
 4 31.2 24.6
 5 5.19 22.8
 5 6.23 18.0
 5 7.45 20.9
 5 8.55 21.8
 5 8.05 21.9
 5 9.65 20.9
 5 9.48 23.3
 5 10.5 21.9
 5 10.7 22.7
 5 11.4 18.2
 5 11.4 21.0
 5 11.6 26.2
 5 14.3 27.7
 5 15.5 27.4
 5 15.3 27.8
 5 16.8 28.1
 5 16.4 28.0
 5 17.2 22.3
 5 17.2 25.6
 5 18.5 27.5
 5 18.0 27.9
 5 19.4 25.5
 5 19.8 25.1
 5 19.9 25.0
 5 19.5 26.3
 5 19.3 26.3
 5 19.1 27.4
 5 20.3 25.8
 5 20.2 26.6
 5 20.1 26.3
 5 20.2 26.0
 5 21.7 24.2
 5 21.9 24.9
 5 22.7 13.0
 5 22.5 23.0
 5 22.0 25.3
 5 23.3 11.2
 5 23.4 24.9
 5 24.7 25.1
 5 24.3 25.1
 5 25.4 21.8
 5 25.5 24.6
 5 25.6 25.4
 5 26.5 25.7
 5 26.5 25.3
 5 27.4 22.7
 5 27.6 27.4
 5 27.1 28.5
 5 27.1 28.6
 5 28.5 18.3
 5 28.9 26.4
 5 28.0 26.1
 5 28.5 29.0
 5 29.3 24.6
 5 29.1 26.3
 5 30.2 25.5
 5 30.7 27.7
 5 30.9 27.8
 5 30.9 27.5
 5 30.9 27.3
 5 30.4 27.3
 5 30.6 27.0
 5 30.9 27.5
 5 30.7 28.1
 5 30.5 28.8
 5 30.5 29.1
 5 30.1 30.1
 6 10.2 27.2
 6 11.8 13.6
 6 13.2 28.1
 6 14.3 14.2
 6 15.8 24.0
 6 15.5 26.5
 6 17.7 10.6
 6 17.6 11.9
 6 17.8 16.2
 6 17.7 29.6
 6 17.4 30.9
 6 19.5 14.8
 6 19.1 28.0
 6 20.1 12.7
 6 23.6 31.7
 6 23.7 32.5
 6 23.5 32.4
 6 24.4 31.0
 6 24.4 32.4
 6 24.4 32.3
 6 25.8 30.0
 6 25.3 31.0
 6 25.3 31.5
 6 25.2 31.2
 6 25.9 31.8
 6 25.1 31.5
 6 25.3 31.4
 6 26.7 27.4
 6 26.1 31.3
 6 27.3 26.8
 6 27.5 28.4
 6 28.7 24.9
 6 29.5 29.8
 7 13.7 15.8
 7 14.5 26.7
 7 23.3 11.7
 7 23.5 16.6
 7 25.9 30.7
 8 11.8 13.9
 8 16.6 12.8
 8 17.8 10.5
 8 20.8 13.4
 8 28.2 26.4
